pclass,sex,age,sibsp,parch,fare,cabin,embarked,boat
1,0,29.0,0,0,211.3375,56,3,1
1,1,0.9167,1,2,151.55,137,3,15
1,0,2.0,1,2,151.55,137,3,0
1,1,30.0,1,2,151.55,137,3,0
1,0,25.0,1,2,151.55,137,3,0
1,1,48.0,0,0,26.55,140,3,22
1,0,63.0,1,0,77.9583,7,3,17
1,1,39.0,0,0,0.0,24,3,0
1,0,53.0,2,0,51.4792,55,3,19
1,1,71.0,0,0,49.5042,0,2,0
1,1,47.0,1,0,227.525,76,2,0
1,0,18.0,1,0,227.525,76,2,24
1,0,24.0,0,0,69.3,71,2,26
1,0,26.0,0,0,78.85,0,3,6
1,1,80.0,0,0,30.0,99,3,2
1,1,0.0,0,0,25.925,0,3,0
1,1,24.0,0,1,247.5208,174,2,0
1,0,50.0,0,1,247.5208,174,2,6
1,0,32.0,0,0,76.2917,165,2,8
1,1,36.0,0,0,75.2417,36,2,5
1,1,37.0,1,1,52.5542,32,3,18
1,0,47.0,1,1,52.5542,32,3,18
1,1,26.0,0,0,30.0,164,2,18
1,0,42.0,0,0,227.525,0,2,24
1,0,29.0,0,0,221.7792,186,3,8
1,1,25.0,0,0,26.0,0,2,0
1,1,25.0,1,0,91.0792,52,2,4
1,0,19.0,1,0,91.0792,52,2,4
1,0,35.0,0,0,135.6333,46,3,8
1,1,28.0,0,0,26.55,185,3,19
1,1,45.0,0,0,35.5,129,3,0
1,1,40.0,0,0,31.0,68,2,4
1,0,30.0,0,0,164.8667,18,3,8
1,0,58.0,0,0,26.55,35,3,8
1,1,42.0,0,0,26.55,67,3,0
1,0,45.0,0,0,262.375,0,2,24
1,0,22.0,0,1,55.0,63,3,6
1,1,0.0,0,0,26.55,0,3,26
1,1,41.0,0,0,30.5,10,3,0
1,1,48.0,0,0,50.4958,119,2,0
1,1,0.0,0,0,39.6,0,2,0
1,0,44.0,0,0,27.7208,79,2,6
1,0,59.0,2,0,51.4792,55,3,19
1,0,60.0,0,0,76.2917,165,2,8
1,0,41.0,0,0,134.5,150,2,22
1,1,45.0,0,0,26.55,43,3,0
1,1,0.0,0,0,31.0,0,3,0
1,1,42.0,0,0,26.2875,121,3,18
1,0,53.0,0,0,27.4458,0,2,6
1,1,36.0,0,1,512.3292,22,2,22
1,0,58.0,0,1,512.3292,22,2,22
1,1,33.0,0,0,5.0,22,3,0
1,1,28.0,0,0,47.1,0,3,0
1,1,17.0,0,0,47.1,0,3,0
1,1,11.0,1,2,120.0,23,3,24
1,0,14.0,1,2,120.0,23,3,24
1,1,36.0,1,2,120.0,23,3,25
1,0,36.0,1,2,120.0,23,3,24
1,1,49.0,0,0,26.0,0,3,0
1,0,0.0,0,0,27.7208,0,2,18
1,1,36.0,1,0,78.85,16,3,0
1,0,76.0,1,0,78.85,16,3,6
1,1,46.0,1,0,61.175,42,3,0
1,0,47.0,1,0,61.175,42,3,24
1,1,27.0,1,0,53.1,151,3,18
1,0,33.0,1,0,53.1,151,3,18
1,0,36.0,0,0,262.375,160,2,24
1,0,30.0,0,0,86.5,113,3,8
1,1,45.0,0,0,29.7,81,2,4
1,0,0.0,0,1,55.0,63,3,6
1,1,0.0,0,0,0.0,0,3,0
1,1,27.0,1,0,136.7792,60,2,0
1,0,26.0,1,0,136.7792,60,2,24
1,0,22.0,0,0,151.55,0,3,15
1,1,0.0,0,0,52.0,112,3,0
1,1,47.0,0,0,25.5875,69,3,0
1,0,39.0,1,1,83.1583,130,2,13
1,1,37.0,1,1,83.1583,20,2,0
1,0,64.0,0,2,83.1583,141,2,13
1,0,55.0,2,0,25.7,55,3,21
1,1,0.0,0,0,26.55,0,3,0
1,1,70.0,1,1,71.0,75,3,0
1,0,36.0,0,2,71.0,75,3,4
1,0,64.0,1,1,26.55,135,3,4
1,1,39.0,1,0,71.2833,161,2,0
1,0,38.0,1,0,71.2833,161,2,24
1,1,51.0,0,0,26.55,41,3,10
1,1,27.0,0,0,30.5,0,3,22
